company_name,address,street,business_ownership,business_type,naics_description,sic_description,sales,rent_expenses,sq_footage,latitude,longitude
Progressive Insurance,1100 5th Ave,5th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,155000,Less than 10k,1500-2499,40.516661,-80.162646
Progressive Insurance-Wade,1100 5th Ave,5th Avenue,Private,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,310000,,,40.516661,-80.162646
Wade Chabassol Insurance,1100 5th Ave,5th Avenue,Private,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,310000,Less than 10k,2500-4999,40.516661,-80.162646
Atm,1017 4th Ave,4th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.518247,-80.162676
People Reach Marketing,1035 4th Ave,4th Avenue,Private,Professional Service & Consulting,Marketing Consulting Services,Marketing Programs & Services,1227000,25k-50k,5000-9999,40.518263,-80.162683
Glamorous Productions,1038 5th Ave,5th Avenue,Private,Salons & Holistic Wellness Services,Beauty Salons,Beauty Salons,134000,Less than 10k,1-1499,40.51672,-80.16299
"Wyberg, Garin",1040 5th Ave,5th Avenue,Private,Healthcare,"Offices Of Physical, Occupational And Speech Thera",Physical Therapists,55000,,1500-2499,40.516736,-80.162997
Coraopolis Cash Market,1017 4th Ave,4th Avenue,Private,Supermarket & Groceries,Supermarkets And Other Grocery (Except Convenience,Grocers-Retail,10329000,50,40000-99999,40.518151,-80.163
Coraopolis True Value Hardware,1029 5th Ave,5th Avenue,Private,Retail,Hardware Stores,Hardware-Retail,943000,Less than 10k,1500-2499,40.51729,-80.163045
Bosphorus Enterprises Inc,1011 4th Ave,4th Avenue,Private,Wireless Telecommunications,All Other Miscellaneous Store Retailers (Except To,Miscellaneous Retail Stores NEC,397000,Less than 10k,2500-4999,40.518426,-80.163124
Cricket Wireless Auth Retailer,1011 4th Ave # T,4th Avenue,Branch of Public Company,Wireless Telecommunications,Wireless Telecommunications Carriers (Except Satel,Cellular Telephones (Services),3408000,100k-250k,1500-2499,40.518426,-80.163124
Costantino R A Assoc,1025 5th Ave,5th Avenue,Private,Stationery And Office Supplies,Stationery And Office Supplies Merchant Wholesaler,Greeting Cards-Wholesale,3160000,Less than 10k,1500-2499,40.517352,-80.163195
Dependable Tow Inc,1010 4th Ave,4th Avenue,Private,Wrecker Service,Motor Vehicle Towing,Wrecker Service,203000,Less than 10k,1-1499,40.517893,-80.163227
Mc Donald's,1010 4th Ave,4th Avenue,Branch of Public Company,Restaurants & Taverns,Limited-Service Restaurants,Restaurants,2030000,100k-250k,2500-4999,40.517893,-80.163227
Anchor & Anvil Coffee,1030 5th Ave,5th Avenue,Private,Bakeries & Coffee Shops,Snack And Nonalcoholic Beverage Bars,Coffee Shops,254000,Less than 10k,1500-2499,40.516867,-80.163266
Cobblehaus Brewing Co,1021 5th Ave,5th Avenue,Private,Breweries & Distilleries,Breweries,Brewers (Mfrs),64090000,100k-250k,40000-99999,40.51741,-80.163337
L H Boleky Co,1021 5th Ave,5th Avenue,Private,Professional Service & Consulting,"Electrical Apparatus And Equipment, Wiring Supplie",Controls Control Systs/Regulators (Whls),6516000,10k-25k,10000-19999,40.51741,-80.163337
L F Gilberti Architects Inc,1028 5th Ave,5th Avenue,Private,Professional Service & Consulting,Architectural Services,Architects,776000,10k-25k,2500-4999,40.516896,-80.163344
Just Great Looks,1005 4th Ave,4th Avenue,Private,Salons & Holistic Wellness Services,Beauty Salons,Beauty Salons,45000,Less than 10k,1-1499,40.51845,-80.163439
Three Rivers Yoga Institute,1022 5th Ave,5th Avenue,Private,Fitness,All Other Miscellaneous Schools And Instruction,Yoga Instruction,777000,25k-50k,5000-9999,40.517036,-80.163467
Xclusive Salon LLC,309 Mill St,Mill Street,Private,Salons & Holistic Wellness Services,Beauty Salons,Beauty Salons,134000,Less than 10k,1-1499,40.518513,-80.163498
Anthony Jr's Pizzeria,1024 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Pizza,508000,10k-25k,2500-4999,40.516852,-80.16352
Coraopolis Church-God In Chrst,1046 State Ave,State Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,2500-4999,40.516433,-80.163536
Janie's,1020 5th Ave,5th Avenue,Private,Snack & Nonalcoholic Beverage,Snack And Nonalcoholic Beverage Bars,Ice Cream Parlors,203000,Less than 10k,1-1499,40.516911,-80.163678
Kim's Vape Loft,1016 5th Ave,5th Avenue,Private,Convenience Stores,Tobacco Stores,Cigar Cigarette & Tobacco Dealers-Retail,333000,Less than 10k,1500-2499,40.517109,-80.163712
"Mancini, Judith",409 Mill St,Mill Street,Private,Healthcare,Offices Of Mental Health Practitioners (Except Phy,Social Workers,56000,,2500-4999,40.518053,-80.163734
"Stage, Ginger R",409 Mill St,Mill Street,Private,Healthcare,Offices Of All Other Miscellaneous Health Practiti,Psychologists,55000,,1500-2499,40.518053,-80.163734
Mr Appliance,415 Mill St,Mill Street,Private,Retail,Household Appliance Stores,Appliances-Household-Major-Dealers,1074000,25k-50k,1500-2499,40.517966,-80.163792
Off The Avenue Antiques,1000 4th Ave,4th Avenue,Private,Antiques,Used Merchandise Stores,Antiques-Dealers,216000,Less than 10k,1-1499,40.518329,-80.163795
Segneri's Italian Restaurant,314 Mill St,Mill Street,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,406000,Less than 10k,1500-2499,40.518611,-80.16386
Brown & Abbott,402 Mill St,Mill Street,Private,Professional Service & Consulting,Offices Of Certified Public Accountants,Accountants,487000,Less than 10k,1-1499,40.518341,-80.163971
Eger's Jewelers Inc,406 Mill St # 1,Mill Street,Private,Retail,Jewelry Stores,Jewelers-Retail,1621000,100k-250k,5000-9999,40.518264,-80.164006
Anchor Seals Inc,920 2nd Ave # 1,2nd Avenue,Private,Industry,"Gasket, Packing, And Sealing Device Manufacturing",Gaskets-Manufacturers,1974000,10k-25k,10000-19999,40.519604,-80.164008
Fluid Sealing Intl,920 2nd Ave # 1,2nd Avenue,Private,Professional Service & Consulting,Other Miscellaneous Durable Goods Merchant Wholesa,Manufacturers-Agents & Representatives,14680000,50k-100k,20000-39999,40.519604,-80.164008
Gianni's Pizza & Wings,1009 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Pizza,254000,10k-25k,2500-4999,40.517518,-80.164016
Zukos Pizza,1009 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,153000,Less than 10k,1-1499,40.517518,-80.164016
Coraopolis Chief Of Police,1012 5th Ave,5th Avenue,Private,Government Office,Police Protection,Police Departments,0,,100000+,40.517053,-80.164033
Coraopolis Mayor,1012 5th Ave,5th Avenue,Private,Government Office,Executive Offices,City Government-Executive Offices,0,,100000+,40.517053,-80.164033
Coraopolis Police Dept,1012 5th Ave,5th Avenue,Private,Government Office,Police Protection,Police Departments,0,,100000+,40.517053,-80.164033
Coraopolis Volunteer Fire Dept,1012 5th Ave,5th Avenue,Private,Government Office,Fire Protection,Fire Departments,0,,100000+,40.517053,-80.164033
Original Roo Tees LLC,1005 5th Ave,5th Avenue,Private,Snack & Nonalcoholic Beverage,Snack And Nonalcoholic Beverage Bars,Doughnuts,237000,Less than 10k,1500-2499,40.517545,-80.164089
Kiddie Land,427 Mill St,Mill Street,Private,Professional Service & Consulting,Child Day Care Services,Child Care Service,49000,Less than 10k,1-1499,40.517577,-80.164096
Off The Avenue Antq-Cllctbls,427 Mill St,Mill Street,Private,Antiques,Used Merchandise Stores,Antiques-Dealers,216000,Less than 10k,1-1499,40.517577,-80.164096
Victory Tech Sch Of Sci & Tech,1001 5th Ave,5th Avenue,Private,Education,Elementary And Secondary Schools,Schools,0,,40000-99999,40.517577,-80.164096
